"depth","n_blds","total_cost","median_depth","cost_millions","depth_datum","GROUP"
2,16,2146.456,0.151690870523453,0.002146456,2,"2"
2.2,45,6813.93,0.127280187606812,0.00681393,2.2,"2"
2.4,62,14363.129,0.29337682723999,0.014363129,2.4,"2"
2.6,86,22204.848,0.412843441963196,0.022204848,2.6,"2"
2.8,101,32161.055,0.57897047996521,0.032161055,2.8,"2"
3,110,40734.277,0.723998129367828,0.040734277,3,"2"
3.2,113,48328.895,0.907226753234863,0.048328895,3.2,"2"
3.4,115,55457.249,1.0999568939209,0.055457249,3.4,"2"
3.6,119,65691.906,1.28296098709106,0.065691906,3.6,"2"
3.8,119,73125.04,1.48296098709106,0.07312504,3.8,"2"
4,119,80042.256,1.68296098709106,0.080042256,4,"2"
4.2,119,84872.604,1.88296098709106,0.084872604,4.2,"2"
4.4,120,88384.106,2.07232525348663,0.088384106,4.4,"2"
4.6,120,91170.017,2.27232525348663,0.091170017,4.6,"2"
4.8,121,96121.017,2.4616895198822,0.096121017,4.8,"2"
5,121,100569.151,2.6616895198822,0.100569151,5,"2"
5.2,121,103910.01,2.8616895198822,0.10391001,5.2,"2"
5.4,121,106872.31,3.0616895198822,0.10687231,5.4,"2"
5.6,121,108971.658,3.2616895198822,0.108971658,5.6,"2"
5.8,122,110757.36,3.43445347547531,0.11075736,5.8,"2"
6,122,113015.472,3.63445347547531,0.113015472,6,"2"
6.2,123,115066.274,3.80721743106842,0.115066274,6.2,"2"
6.4,123,115955.7,4.00721743106842,0.1159557,6.4,"2"
6.6,123,116557.997,4.20721743106842,0.116557997,6.6,"2"
6.8,123,117028.384,4.40721743106842,0.117028384,6.8,"2"
7,123,117216.147,4.60721743106842,0.117216147,7,"2"
7.2,123,117492.908,4.80721743106842,0.117492908,7.2,"2"
7.4,123,117713.998,5.00721743106842,0.117713998,7.4,"2"
7.6,125,118338.06,5.19423899650574,0.11833806,7.6,"2"
7.8,129,119599.816,5.36988143920899,0.119599816,7.8,"2"
8,130,121286.478,5.56436562538147,0.121286478,8,"2"
8.2,131,122569.273,5.75884981155395,0.122569273,8.2,"2"
8.4,131,123775.726,5.95884981155396,0.123775726,8.4,"2"
8.6,132,124453.567,6.14237635930379,0.124453567,8.6,"2"
8.8,132,125088.406,6.34237635930379,0.125088406,8.8,"2"
9,133,126218.885,6.52590290705363,0.126218885,9,"2"
9.2,134,127807.787,6.72124281724294,0.127807787,9.2,"2"
9.4,135,128952.697,6.91658272743225,0.128952697,9.4,"2"
9.6,137,130368.602,7.11420551538468,0.130368602,9.6,"2"
9.8,138,132075.058,7.31366367936134,0.132075058,9.8,"2"
10,138,133372.473,7.51366367936134,0.133372473,10,"2"
2,0,0,0,0,2,"1"
2.2,1,35.7,0.125044775009155,3.57e-05,2.2,"1"
2.4,1,83.895,0.325044775009155,8.3895e-05,2.4,"1"
2.6,2,152.838,0.342636829614639,0.000152838,2.6,"1"
2.8,2,213.29,0.542636829614639,0.00021329,2.8,"1"
3,2,242.859,0.742636829614639,0.000242859,3,"1"
3.2,2,258.459,0.942636829614639,0.000258459,3.2,"1"
3.4,2,289.327,1.14263682961464,0.000289327,3.4,"1"
3.6,2,331.336,1.34263682961464,0.000331336,3.6,"1"
3.8,2,363.493,1.54263682961464,0.000363493,3.8,"1"
4,2,399.62,1.74263682961464,0.00039962,4,"1"
4.2,2,399.62,1.94263682961464,0.00039962,4.2,"1"
4.4,2,399.62,2.14263682961464,0.00039962,4.4,"1"
4.6,2,408.902,2.34263682961464,0.000408902,4.6,"1"
4.8,2,429.965,2.54263682961464,0.000429965,4.8,"1"
5,2,446.042,2.74263682961464,0.000446042,5,"1"
5.2,2,469.265,2.94263682961464,0.000469265,5.2,"1"
5.4,2,473.906,3.14263682961464,0.000473906,5.4,"1"
5.6,2,477.399,3.34263682961464,0.000477399,5.6,"1"
5.8,2,482.56,3.54263682961464,0.00048256,5.8,"1"
6,2,482.56,3.74263682961464,0.00048256,6,"1"
6.2,2,482.56,3.94263682961464,0.00048256,6.2,"1"
6.4,2,482.56,4.14263682961464,0.00048256,6.4,"1"
6.6,2,482.56,4.34263682961464,0.00048256,6.6,"1"
6.8,2,482.56,4.54263682961464,0.00048256,6.8,"1"
7,2,482.56,4.74263682961464,0.00048256,7,"1"
7.2,2,482.56,4.94263682961464,0.00048256,7.2,"1"
7.4,2,482.56,5.14263682961464,0.00048256,7.4,"1"
7.6,2,482.56,5.34263682961464,0.00048256,7.6,"1"
7.8,2,482.56,5.54263682961464,0.00048256,7.8,"1"
8,2,482.56,5.74263682961464,0.00048256,8,"1"
8.2,2,482.56,5.94263682961464,0.00048256,8.2,"1"
8.4,2,482.56,6.14263682961464,0.00048256,8.4,"1"
8.6,2,482.56,6.34263682961464,0.00048256,8.6,"1"
8.8,3,528.316,6.36022888422012,0.000528316,8.8,"1"
9,3,572.956,6.56022888422012,0.000572956,9,"1"
9.2,3,592.672,6.76022888422012,0.000592672,9.2,"1"
9.4,3,604.948,6.96022888422012,0.000604948,9.4,"1"
9.6,3,613.132,7.16022888422012,0.000613132,9.6,"1"
9.8,3,615.736,7.36022888422012,0.000615736,9.8,"1"
10,3,644.752,7.56022888422012,0.000644752,10,"1"
